x,y,z,faceIndex,nodeIndex,nodeCount
-0.013253587613960782,-0.23606461278653887,-0.551609915238968,1552356,9275,4
-0.02654588588497475,-0.24722080408426883,-0.5467008999699264,1552357,9608,4
-0.026908252642768637,-0.23611455101569934,-0.55158854121406,1552357,9610,4
-0.013253587613960782,-0.23606461278653887,-0.551609915238968,1552357,9275,4
-0.013060018171816346,-0.24711985776498552,-0.5467465371616114,1552357,9267,4
-0.02630823327027354,-0.258201101206527,-0.5416015060316365,1552358,9534,4
-0.02654588588497475,-0.24722080408426883,-0.5467008999699264,1552358,9608,4
-0.013060018171816346,-0.24711985776498552,-0.5467465371616114,1552358,9267,4
-0.012948650317586186,-0.25807149117948097,-0.5416632768061714,1552358,9268,4
-0.026470074607966687,-0.269045333017053,-0.536297127329378,1552359,9535,4
-0.02630823327027354,-0.258201101206527,-0.5416015060316365,1552359,9534,4
-0.012948650317586186,-0.25807149117948097,-0.5416632768061714,1552359,9268,4
-0.013043934942818858,-0.26891491802116074,-0.5363625330554628,1552359,9271,4
-0.02653889699949019,-0.279759917119542,-0.5307865755397992,1552360,9611,4
-0.026470074607966687,-0.269045333017053,-0.536297127329378,1552360,9535,4
-0.013043934942818858,-0.26891491802116074,-0.5363625330554628,1552360,9271,4
-0.012976679133329228,-0.27964704857333056,-0.5308460494571146,1552360,9272,4
-0.01284328512223798,-0.2902650007027785,-0.5251154438473657,1552361,9273,4
-0.02600019584308022,-0.2903214579555441,-0.5250842323385527,1552361,9612,4
-0.02653889699949019,-0.279759917119542,-0.5307865755397992,1552361,9611,4
-0.012976679133329228,-0.27964704857333056,-0.5308460494571146,1552361,9272,4
-0.025892370407033738,-0.3008100272674172,-0.5191467302173594,1552362,9613,4
-0.02600019584308022,-0.2903214579555441,-0.5250842323385527,1552362,9612,4
-0.01284328512223798,-0.2902650007027785,-0.5251154438473657,1552362,9273,4
-0.012771926350166218,-0.30076746922974545,-0.5191713873598333,1552362,9274,4
-0.025361573718708286,-0.4494726610271026,-0.3974598432410692,1552363,9628,4
-0.02512991410140586,-0.44140064110055893,-0.4064055536480961,1552363,9627,4
-0.012451933789076719,-0.44140222482017716,-0.40640383354958376,1552363,9294,4
-0.012563621134859204,-0.4494763744877996,-0.3974556437859492,1552363,9296,4
-0.025498825796548275,-0.4573666914150054,-0.38834998337078785,1552364,9629,4
-0.025361573718708286,-0.4494726610271026,-0.3974598432410692,1552364,9628,4
-0.012563621134859204,-0.4494763744877996,-0.3974556437859492,1552364,9296,4
-0.01263151037176069,-0.4573688089869148,-0.3883474894548579,1552364,9297,4
-0.025315986021891668,-0.46507631608098055,-0.3790831310155384,1552365,9624,4
-0.025498825796548275,-0.4573666914150054,-0.38834998337078785,1552365,9629,4
-0.01263151037176069,-0.4573688089869148,-0.3883474894548579,1552365,9297,4
-0.012551507410903717,-0.4650759370446305,-0.3790835960339868,1552365,9298,4
-0.025088727716676473,-0.4725959931464545,-0.3696661023977128,1552366,9625,4
-0.025315986021891668,-0.46507631608098055,-0.3790831310155384,1552366,9624,4
-0.012551507410903717,-0.4650759370446305,-0.3790835960339868,1552366,9298,4
-0.012462195097037387,-0.4725944430009354,-0.3696680841574446,1552366,9299,4
-0.024608274643259875,-0.5993833028384453,-0.027196622556422297,1552367,9667,4
-0.02461275080118419,-0.5987606809968743,-0.03854409023649793,1552367,9665,4
-0.012280865502857452,-0.5987703842609519,-0.038393058382890026,1552367,9334,4
-0.012269522001227884,-0.5993894406168924,-0.027061013967862514,1552367,9335,4
-0.02480824956297223,-0.597744832669047,0.05197225238002402,1552369,9674,4
-0.024780104843456385,-0.5986440533337013,0.04031497746739501,1552369,9673,4
-0.012340223740050504,-0.598653135662867,0.04017988502991012,1552369,9342,4
-0.012352942197869865,-0.5977536606828954,0.051870619238620685,1552369,9344,4
-0.024765637464787105,-0.5873008725855621,0.1227912255018137,1552370,9546,4
-0.024788218055462607,-0.5896383716463277,0.11102518039736359,1552370,9545,4
